intensity,P_e_n1_avg
0.08,0.00011232855263674111
0.09,0.00020189909684936635
0.1,0.00024309584884508597
0.11,0.0002498754557641535
0.12,0.0001931844341578813
0.13,0.0001311855447807712
0.14,9.345123065658442e-05
0.15,7.120081547086872e-05
0.16,6.091254489353343e-05
0.17,6.253572437043544e-05
0.18,8.867129924142883e-05
0.19,0.0002464675555726521
0.2,0.00042829677104892045
0.21,0.00017727249912050108
0.22,6.81538307235834e-05
0.23,3.6582693842486134e-05
0.24,2.4645420746526966e-05
0.25,1.8234348899095703e-05
