intensity,P_g_n1_avg
0.08,8.195787318491674e-18
0.09,4.172396944752104e-20
0.1,1.3342282690297515e-22
0.11,1.6562361093260333e-23
0.12,2.2011282051673708e-23
0.13,3.227627716521845e-23
0.14,2.6806555823168855e-23
0.15,2.182597839943287e-23
0.16,1.6488256342973457e-23
0.17,1.2249115136790583e-23
0.18,7.821753320921934e-24
0.19,6.581755846808355e-24
0.2,4.113676788572247e-24
0.21,4.1288534914038405e-24
0.22,3.389247859243689e-24
0.23,3.1353744863185514e-24
0.24,2.6408125248398033e-24
0.25,2.2047159804206927e-24
