intensity,P_g_n0,P_g_n1,P_g_n2,P_e_n0,P_e_n1,P_e_n2
0.05,0.9960077649939958,5.461232691332525e-12,1.6246990310784767e-23,0.0034957516960232573,0.00016063533951503732,0.00033584796525418676
0.06,0.9958596816677799,7.32448393951341e-14,1.2445065341031764e-23,0.004044384963758055,5.4775011671700454e-05,4.1158356854182856e-05
0.07,0.9960430678436945,4.3396800188216093e-16,1.406777603945596e-23,0.0028076101777296395,0.0010126106169662176,0.00013671136224253593
0.08,0.996471609397859,4.598971294576729e-18,1.977359266868934e-24,0.0033802850931916656,0.00012679470472814558,2.1310808926888565e-05
0.09,0.9971866850033392,2.724333089999715e-20,7.113363547295562e-24,0.0025373534192726695,0.000216198664533433,5.9762903702338095e-05
0.1,0.9974265861990359,2.161360408323521e-22,1.79283226033064e-23,0.0021051891343829934,0.0001767294728237143,0.00029149519052586636
0.11,0.9977590536071842,6.41621049222197e-23,8.411619145804374e-24,0.0018970992329978844,0.0002620699319334534,8.177723036877322e-05
0.12,0.997451863422154,1.6370657940099249e-22,2.360109694437562e-24,0.0023584978398989032,0.00017689821351837666,1.2740521871189888e-05
0.13,0.9967690011892547,1.6180582295004741e-22,4.443710878735735e-25,0.0031080344121845968,0.00011919493239207373,3.7694708695442227e-06
0.14,0.9963193600231103,1.4939594878923825e-22,3.2417628900691397e-25,0.003592077698413369,8.687098007901297e-05,1.691298670061953e-06
0.15,0.9960652591125998,1.2984790815171582e-22,2.174353053070688e-25,0.0038664498406191577,6.747564472377602e-05,8.154045576637528e-07
0.16,0.9959209969057495,1.105737674093791e-22,1.4304689863270826e-25,0.004020141035509491,5.8469935607730015e-05,3.921227198220325e-07
0.17,0.995852951429008,9.135565788649115e-23,9.857795936227772e-26,0.004086293444108874,6.0587832096143705e-05,1.6730557792284756e-07
0.18,0.995877903106507,7.077346720982252e-23,6.294466716301948e-26,0.0040352091826051616,8.684367762828658e-05,4.403549341624888e-08
0.19,0.9960452952868609,6.940580238315935e-23,3.360284861563085e-26,0.003735703714407021,0.0002189066498107735,9.43505644509501e-08
0.2,0.9962420441482364,1.4345690522363821e-22,2.313917808217847e-26,0.0033113966406457854,0.00044599777717917275,5.614428473834914e-07
0.21,0.9961912471702621,4.134030684570606e-23,3.462777419138782e-26,0.0036220984321103334,0.00018624178550717089,4.1261201369974925e-07
0.22,0.9959787056904685,4.1426122401446035e-23,3.2987367994437103e-26,0.003954696365144657,6.637500538492635e-05,2.2293921385180956e-07
0.23,0.9958219156215976,3.4993222590284004e-23,2.5841853403652864e-26,0.004142735972608811,3.520975548207327e-05,1.3865074582146935e-07
0.24,0.9957361869476572,3.106850052294045e-23,2.105457962892345e-26,0.004239937795661892,2.3779449774551507e-05,9.581370659071663e-08
0.25,0.9956856659992811,2.6732885236997023e-23,1.7029351353895173e-26,0.004296603374996088,1.7660906910231236e-05,6.972220731918112e-08
