intensity,P_e_n1_avg
0.15,5.063101969109903e-08
0.16,6.57270070075184e-08
0.17,9.590416797478925e-08
0.18,1.693098651748874e-07
0.19,3.8313158771408975e-07
0.2,9.272755992567534e-07
0.21,5.292875878703908e-07
0.22,2.394608097452878e-07
0.23,1.5598110307669868e-07
0.24,1.1695410773040067e-07
0.25,1.05666420211811e-07
0.26,1.0390879545314414e-07
0.27,1.0640970757960837e-07
0.28,1.1402115077136826e-07
0.29,1.2815946083514998e-07
0.3,1.4859010243139826e-07
0.31,1.7352861476800262e-07
0.32,2.0370367426895937e-07
0.33,2.437440472136636e-07
0.34,2.9745024276307444e-07
0.35,3.71086400655508e-07
0.36,4.6107830377129034e-07
0.37,5.041601081815085e-07
0.38,5.781439447460127e-07
0.39,6.198852403523829e-07
0.4,5.887377828720102e-07
0.41,5.710313575265949e-07
0.42,5.015678587777595e-07
0.43,4.32837375962745e-07
0.44,3.596202716504652e-07
0.45,2.946118363502957e-07
