Rabi_meV,Evib_per_molecule_avg,Evib_per_molecule_g_avg,Evib_per_molecule_e_avg
0.16,6.850968862664406e-07,1.3657111867190324e-10,6.849603151477686e-07
0.17,5.398236540187922e-07,1.9636156733025934e-10,5.396272924514622e-07
0.18,4.380561486045095e-07,3.817768276275717e-10,4.376743717768819e-07
0.19,3.653718711980369e-07,1.5179238982234064e-09,3.6385394729981344e-07
0.195,3.4182268162128036e-07,7.891547085265053e-09,3.339311345360153e-07
0.196,3.4344765907566964e-07,1.498787662190462e-08,3.2845978245376505e-07
0.197,3.6120489642108867e-07,3.867775491338177e-08,3.225271415077069e-07
0.198,5.484481144765731e-07,2.3562064909941826e-07,3.1282746537715475e-07
0.19866,5.597332634913729e-06,5.378285675818957e-06,2.1904695909477282e-07
0.199,1.1643150117687145e-06,8.631746903879164e-07,3.0114032138079833e-07
0.2,3.6253279241089184e-07,5.3792243342844385e-08,3.087405490680476e-07
0.201,3.218348239110089e-07,1.754731976358947e-08,3.042875041474195e-07
0.202,3.08307688176972e-07,8.684203775959134e-09,2.996234844010128e-07
0.203,3.003092336388012e-07,5.1040388537585e-09,2.952051947850426e-07
0.21,2.674047946863165e-07,6.89767139155683e-10,2.667150275471607e-07
0.22,2.33931056938893e-07,1.7735318068005459e-10,2.3375370375821296e-07
0.23,2.0746273794740596e-07,7.55461709517822e-11,2.0738719177645417e-07
0.24,1.859116137520174e-07,4.031517540260259e-11,1.8587129857661488e-07
