nu_eV,kappa_ratio,kappa_rate_fs_inv,kappa_eV,omega_rabi_eV,omega_rabi_rate_fs_inv,time_avg_start_fs,time_window_fs,Evib_per_molecule_g_avg_eV,Evib_per_molecule_g_max_eV
0.16,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.89110663901188e-11,1.8445855068799502e-10
0.17,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,7.526594853616361e-11,1.7969773153857613e-10
0.18,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,1.386492356537308e-10,2.5658502530349495e-10
0.19,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,3.1688117690988337e-10,3.795267506773566e-10
0.195,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.556875421914226e-10,4.710016837293254e-10
0.196,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.75126838800779e-10,4.856568473573612e-10
0.197,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.874004252300996e-10,4.952501356917638e-10
0.198,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.910042339657265e-10,4.977084575563483e-10
0.19866,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.882679462852543e-10,4.948880968330584e-10
0.199,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.85273024719776e-10,4.920115591746282e-10
0.2,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.705778575004746e-10,4.783306339038048e-10
0.201,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.482502480257013e-10,4.5824414124122566e-10
0.202,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.202633551137579e-10,4.3411486846976017e-10
0.203,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,3.888073872790269e-10,4.0795150900242533e-10
0.21,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,1.9024893790596097e-10,2.4408488827992265e-10
0.22,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,7.230832322394868e-11,1.2766457665181112e-10
0.23,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,3.415047290613841e-11,6.744249024252407e-11
0.24,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,1.8791132787888375e-11,4.6615665867161665e-11
