nu_eV,kappa_ratio,kappa_rate_fs_inv,kappa_eV,omega_rabi_eV,omega_rabi_rate_fs_inv,time_avg_start_fs,time_window_fs,Evib_per_molecule_g_avg_eV,Evib_per_molecule_g_max_eV
0.16,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,5.327171358797979e-11,2.95092377427815e-10
0.17,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,8.543072647944771e-11,4.112106519209925e-10
0.18,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,1.7939099744255382e-10,7.073900291511737e-10
0.19,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,7.404789796828754e-10,2.2567825752765163e-09
0.195,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.704791986454183e-09,7.891255946184228e-09
0.196,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,6.513879880157733e-09,1.1761467443145582e-08
0.197,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,1.3705579284605875e-08,1.943429279085451e-08
0.198,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.4042114385471365e-08,3.6714600739858576e-08
0.19866,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,4.6743677445463783e-08,4.9188876203432166e-08
0.199,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,4.1928148049911844e-08,4.3988570226563347e-08
0.2,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,1.735040145553838e-08,2.2389334420925903e-08
0.201,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,7.5730428936235e-09,1.2658606935009217e-08
0.202,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,4.0287701039552216e-09,8.035654914472707e-09
0.203,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,2.455081892404941e-09,5.509962208842135e-09
0.21,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.536519916984706e-10,1.0875694884363617e-09
0.22,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,9.1586697130008e-11,3.109372310828604e-10
0.23,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,3.886141022020607e-11,1.4172000899798685e-10
0.24,0.01,0.0030385349232287034,0.002,0.2,0.30385349232287034,0.0,20000.0,2.048489923286746e-11,7.556338176334756e-11
0.16,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,5.123867291952469e-11,2.3545307126055504e-10
0.17,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,8.16137894601113e-11,2.757239863240279e-10
0.18,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.6565517417545317e-10,4.1266984376483805e-10
0.19,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,5.546820043866845e-10,8.633883549850233e-10
0.195,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.351251890976351e-09,1.4850069659240354e-09
0.196,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.5900931809520325e-09,1.6643817823504642e-09
0.197,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.8045517437533116e-09,1.8405882167583734e-09
0.198,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.934274926577507e-09,1.95838882716789e-09
0.19866,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.9469926827019558e-09,1.97047088256759e-09
0.199,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.9283763345024776e-09,1.9522392358219225e-09
0.2,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.7854382365146083e-09,1.8163903696787416e-09
0.201,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.5558363553021778e-09,1.6138440040179195e-09
0.202,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.3025017962472052e-09,1.4057257214678531e-09
0.203,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.0679723446501735e-09,1.2179983349671134e-09
0.21,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,2.9044826102579905e-10,4.985397857873633e-10
0.22,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,8.526731781305791e-11,2.0111736670261488e-10
0.23,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,3.7248935201264055e-11,9.957168237713761e-11
0.24,0.05,0.015192674616143518,0.01,0.2,0.30385349232287034,0.0,20000.0,1.9843734510215445e-11,5.907106533325894e-11
0.16,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.89110663901188e-11,1.8445855068799502e-10
0.17,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,7.526594853616361e-11,1.7969773153857613e-10
0.18,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,1.386492356537308e-10,2.5658502530349495e-10
0.19,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,3.1688117690988337e-10,3.795267506773566e-10
0.195,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.556875421914226e-10,4.710016837293254e-10
0.196,0.1,0.030385349232287036,0.02,0.2,0.30385349232287034,0.0,20000.0,4.75126838800779e-10,4.856568473573612e-10
