# time_fs  P_UP  P_LP  P_GS  P_DS
0.000000000000000000e+00 4.999999999999998890e-01 4.999999999999998890e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 4.999893817601327450e-01 4.998632513206255901e-01 0.000000000000000000e+00 1.473669192376221495e-04
5.000000000000000000e+00 4.997702200298342889e-01 4.982475080715327298e-01 0.000000000000000000e+00 1.982271898627036358e-03
7.500000000000000000e+00 4.985522169037709950e-01 4.939655363967238588e-01 0.000000000000000000e+00 7.482246699499719989e-03
1.000000000000000000e+01 4.950961764711945823e-01 4.893971771552435013e-01 0.000000000000000000e+00 1.550664637355586399e-02
1.250000000000000000e+01 4.889144154094615669e-01 4.895371219523271256e-01 0.000000000000000000e+00 2.154846263820448318e-02
1.500000000000000000e+01 4.811655081778495324e-01 4.970145730842244758e-01 0.000000000000000000e+00 2.181991873791997577e-02
1.750000000000000000e+01 4.739244701145550187e-01 5.086991715183154517e-01 0.000000000000000000e+00 1.737635836712413812e-02
2.000000000000000000e+01 4.687902419802930098e-01 5.177123451956310296e-01 0.000000000000000000e+00 1.349741282407120394e-02
2.250000000000000000e+01 4.663907673133253495e-01 5.191126449954683864e-01 0.000000000000000000e+00 1.449658769120040248e-02
2.500000000000000000e+01 4.665831535700286081e-01 5.141227934747334416e-01 0.000000000000000000e+00 1.929405295523137914e-02
2.750000000000000000e+01 4.683760403707034059e-01 5.091103138183932231e-01 0.000000000000000000e+00 2.251364581089838196e-02
3.000000000000000000e+01 4.698914926230615685e-01 5.101733339574843207e-01 0.000000000000000000e+00 1.993517341944921542e-02
3.250000000000000000e+01 4.692967131878467146e-01 5.181957930445396654e-01 0.000000000000000000e+00 1.250749376760843141e-02
3.500000000000000000e+01 4.661096197181786027e-01 5.289399366005945735e-01 0.000000000000000000e+00 4.950443681221424440e-03
3.750000000000000000e+01 4.612519544532772686e-01 5.378322936751503969e-01 0.000000000000000000e+00 9.157518715658998767e-04
4.000000000000000000e+01 4.558490452125187886e-01 5.440577236581978227e-01 0.000000000000000000e+00 9.323112927783708140e-05
4.250000000000000000e+01 4.504227154748709494e-01 5.494797439008139994e-01 0.000000000000000000e+00 9.754062430838999652e-05
