# time_fs  P_exc  P_photon
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000000e+00 1.373925681457354164e-01 8.626074318542608088e-01
5.000000000000000000e+00 4.734919411579143755e-01 5.265080588420795182e-01
7.500000000000000000e+00 8.230480777222275446e-01 1.769519222777671819e-01
1.000000000000000000e+01 9.954101804496373607e-01 4.589819550356739539e-03
1.250000000000000000e+01 8.993096827129286597e-01 1.006903172870646512e-01
1.500000000000000000e+01 5.904902948311944177e-01 4.095097051687992540e-01
1.750000000000000000e+01 2.384018071020587437e-01 7.615981928979368432e-01
2.000000000000000000e+01 3.311639222922796444e-02 9.668836077707679832e-01
2.250000000000000000e+01 8.380602613814726320e-02 9.161939738618476436e-01
2.500000000000000000e+01 3.617472541212778392e-01 6.382527458787161656e-01
2.750000000000000000e+01 7.163418750076989694e-01 2.836581249922959236e-01
3.000000000000000000e+01 9.555123882476380670e-01 4.448761175235727006e-02
3.250000000000000000e+01 9.490050827067034733e-01 5.099491729329129475e-02
3.500000000000000000e+01 6.998904359224715765e-01 3.001095640775227613e-01
3.750000000000000000e+01 3.442719859014837236e-01 6.557280140985104477e-01
4.000000000000000000e+01 7.713803816184179596e-02 9.228619618381522782e-01
4.250000000000000000e+01 4.421504886051062094e-02 9.557849511394835851e-01
4.500000000000000000e+01 2.608981038359471927e-01 7.391018961640467566e-01
4.750000000000000000e+01 6.049823231862454520e-01 3.950176768137502736e-01
5.000000000000000000e+01 8.868379488412607703e-01 1.131620511587356354e-01
5.250000000000000000e+01 9.554288578944660770e-01 4.457114210552980127e-02
5.500000000000000000e+01 7.794690298558417663e-01 2.205309701441557635e-01
5.750000000000000000e+01 4.601515741295489903e-01 5.398484258704481231e-01
6.000000000000000000e+01 1.722338295186711388e-01 8.277661704813266130e-01
6.250000000000000000e+01 6.877764696392266175e-02 9.312223530360783652e-01
6.500000000000000000e+01 2.010972488950589221e-01 7.989027511049419106e-01
6.750000000000000000e+01 4.942541319822622570e-01 5.057458680177399080e-01
7.000000000000000000e+01 7.887700316056736050e-01 2.112299683943293094e-01
7.250000000000000000e+01 9.261771418889215290e-01 7.382285811108153795e-02
7.500000000000000000e+01 8.339644379325981127e-01 1.660355620674050237e-01
7.750000000000000000e+01 5.647236360538303579e-01 4.352763639461710854e-01
8.000000000000000000e+01 2.672080675272746619e-01 7.327919324727283357e-01
8.250000000000000000e+01 1.039022453726236306e-01 8.960977546273779515e-01
8.500000000000000000e+01 1.607906299932240768e-01 8.392093700067778661e-01
8.750000000000000000e+01 4.009004912881402038e-01 5.990995087118619056e-01
9.000000000000000000e+01 6.880581988425411577e-01 3.119418011574605631e-01
9.250000000000000000e+01 8.655657494390841533e-01 1.344342505609181226e-01
9.500000000000000000e+01 8.428375548338095102e-01 1.571624451661922661e-01
9.750000000000000000e+01 6.410766884546174049e-01 3.589233115453845935e-01
1.000000000000000000e+02 3.757434328847081839e-01 6.242565671152937590e-01
1.025000000000000000e+02 1.901234608339416599e-01 8.098765391660590618e-01
1.050000000000000000e+02 1.787905129018273476e-01 8.212094870981744288e-01
1.075000000000000000e+02 3.409199339853574706e-01 6.590800660146447498e-01
1.100000000000000000e+02 5.848029229812445884e-01 4.151970770187571325e-01
1.125000000000000000e+02 7.786311449000391516e-01 2.213688550999637350e-01
1.150000000000000000e+02 8.206817868201372601e-01 1.793182131798648493e-01
1.175000000000000000e+02 6.927882137573226906e-01 3.072117862426799184e-01
1.200000000000000000e+02 4.688073373056598214e-01 5.311926626943430652e-01
1.225000000000000000e+02 2.728429231891468243e-01 7.271570768108561733e-01
1.250000000000000000e+02 2.098095461623702418e-01 7.901904538376323117e-01
1.275000000000000000e+02 3.077401233433593175e-01 6.922598766566436801e-01
1.300000000000000000e+02 5.052011560287615888e-01 4.947988439712405762e-01
1.325000000000000000e+02 6.900421557168393560e-01 3.099578442831624758e-01
1.350000000000000000e+02 7.645179710517135963e-01 2.354820289482878748e-01
1.375000000000000000e+02 6.974912365217548205e-01 3.025087634782467338e-01
1.400000000000000000e+02 5.354042076375821191e-01 4.645957923624192132e-01
1.425000000000000000e+02 3.704324832135225121e-01 6.295675167864781541e-01
1.450000000000000000e+02 2.881240859773515628e-01 7.118759140226476045e-01
1.475000000000000000e+02 3.243220503642829655e-01 6.756779496357152581e-01
1.500000000000000000e+02 4.516028779034029772e-01 5.483971220965960791e-01
1.525000000000000000e+02 5.981546301566643686e-01 4.018453698433341881e-01
1.550000000000000000e+02 6.870038350927742954e-01 3.129961649072248719e-01
1.575000000000000000e+02 6.756453350195587015e-01 3.243546649804405213e-01
1.600000000000000000e+02 5.766020792577342124e-01 4.233979207422647884e-01
1.625000000000000000e+02 4.484002255465982523e-01 5.515997744534022473e-01
1.650000000000000000e+02 3.615937057322301529e-01 6.384062942677705133e-01
1.675000000000000000e+02 3.589128339012950253e-01 6.410871660987048637e-01
1.700000000000000000e+02 4.330795573787778463e-01 5.669204426212218761e-01
1.725000000000000000e+02 5.353365688795288513e-01 4.646634311204705381e-01
1.750000000000000000e+02 6.077733566712397728e-01 3.922266433287595611e-01
1.775000000000000000e+02 6.173127875286356092e-01 3.826872124713630585e-01
1.800000000000000000e+02 5.701754640851581790e-01 4.298245359148399336e-01
1.825000000000000000e+02 5.010727612337677606e-01 4.989272387662303521e-01
1.850000000000000000e+02 4.484818471884954305e-01 5.515181528115027376e-01
1.875000000000000000e+02 4.336954660100786341e-01 5.663045339899195341e-01
1.900000000000000000e+02 4.545599583116244902e-01 5.454400416883743441e-01
1.925000000000000000e+02 4.928877712440073999e-01 5.071122287559917119e-01
1.950000000000000000e+02 5.273257880661532671e-01 4.726742119338455672e-01
1.975000000000000000e+02 5.439530004510282346e-01 4.560469995489707662e-01
2.000000000000000000e+02 5.409016730993084776e-01 4.590983269006899681e-01
2.025000000000000000e+02 5.264691237269381041e-01 4.735308762730605636e-01
2.050000000000000000e+02 5.121858931131149095e-01 4.878141068868834251e-01
2.075000000000000000e+02 5.045506763117848514e-01 4.954493236882131502e-01
2.100000000000000000e+02 5.009590523116425054e-01 4.990409476883557183e-01
2.125000000000000000e+02 4.937315012945342474e-01 5.062684987054643093e-01
2.150000000000000000e+02 4.798722429224249186e-01 5.201277570775741932e-01
2.175000000000000000e+02 4.677968362880891018e-01 5.322031637119095659e-01
2.200000000000000000e+02 4.730275497050738243e-01 5.269724502949248990e-01
2.225000000000000000e+02 5.041892895156369070e-01 4.958107104843615942e-01
2.250000000000000000e+02 5.507310541198409126e-01 4.492689458801581992e-01
2.275000000000000000e+02 5.846809820380336475e-01 4.153190179619657973e-01
2.300000000000000000e+02 5.782138659579248996e-01 4.217861340420747673e-01
2.325000000000000000e+02 5.251718445485286102e-01 4.748281554514714453e-01
2.350000000000000000e+02 4.498598264365340493e-01 5.501401735634665613e-01
2.375000000000000000e+02 3.951460412271786682e-01 6.048539587728218869e-01
2.400000000000000000e+02 3.969490085420811498e-01 6.030509914579195163e-01
2.425000000000000000e+02 4.614996915376090025e-01 5.385003084623918301e-01
2.450000000000000000e+02 5.593223012068010425e-01 4.406776987931997902e-01
2.475000000000000000e+02 6.392143745859972803e-01 3.607856254140034968e-01
2.500000000000000000e+02 6.546368393509623962e-01 3.453631606490379369e-01
2.525000000000000000e+02 5.894332159261707060e-01 4.105667840738298491e-01
2.550000000000000000e+02 4.702058193329661795e-01 5.297941806670347642e-01
2.575000000000000000e+02 3.574245041057259598e-01 6.425754958942748729e-01
2.600000000000000000e+02 3.161206786773300692e-01 6.838793213226704859e-01
2.625000000000000000e+02 3.786669249427382367e-01 6.213330750572615413e-01
2.650000000000000000e+02 5.206245659931412195e-01 4.793754340068586139e-01
2.675000000000000000e+02 6.675753262054209269e-01 3.324246737945787400e-01
2.700000000000000000e+02 7.340717789995138132e-01 2.659282210004851321e-01
2.725000000000000000e+02 6.743369505711851453e-01 3.256630494288141886e-01
2.750000000000000000e+02 5.134323682657715437e-01 4.865676317342276236e-01
2.775000000000000000e+02 3.372916248940523998e-01 6.627083751059478223e-01
2.800000000000000000e+02 2.454415546285368399e-01 7.545584453714626605e-01
2.825000000000000000e+02 2.939937615377980484e-01 7.060062384622003417e-01
2.850000000000000000e+02 4.624244117231128270e-01 5.375755882768868954e-01
2.875000000000000000e+02 6.629868856748528660e-01 3.370131143251467454e-01
2.900000000000000000e+02 7.870527242333237306e-01 2.129472757666762417e-01
2.925000000000000000e+02 7.632488472566554272e-01 2.367511527433445173e-01
2.950000000000000000e+02 5.972358529501937685e-01 4.027641470498068976e-01
2.975000000000000000e+02 3.724284380559436114e-01 6.275715619440572768e-01
3.000000000000000000e+02 2.093834470371644940e-01 7.906165529628369493e-01
3.025000000000000000e+02 2.020468783859745709e-01 7.979531216140279826e-01
3.050000000000000000e+02 3.633578003635868914e-01 6.366421996364152180e-01
3.075000000000000000e+02 6.119233860185400165e-01 3.880766139814623705e-01
3.100000000000000000e+02 8.118882677967007577e-01 1.881117322033016848e-01
3.125000000000000000e+02 8.476860268782843155e-01 1.523139731217180992e-01
3.150000000000000000e+02 6.919532661124503381e-01 3.080467338875533256e-01
3.175000000000000000e+02 4.253281842820296199e-01 5.746718157179742104e-01
3.200000000000000000e+02 1.939078103396585651e-01 8.060921896603442383e-01
3.225000000000000000e+02 1.277536618429673254e-01 8.722463381570384477e-01
3.250000000000000000e+02 2.674748053485042076e-01 7.325251946514997892e-01
3.275000000000000000e+02 5.407195416576009439e-01 4.592804583424026088e-01
3.300000000000000000e+02 8.009906330597431623e-01 1.990093669402612786e-01
3.325000000000000000e+02 9.065082528961541097e-01 9.349174710384988707e-02
3.350000000000000000e+02 7.965107703057701105e-01 2.034892296942347190e-01
3.375000000000000000e+02 5.252284264048280304e-01 4.747715735951771321e-01
3.400000000000000000e+02 2.357225496638792328e-01 7.642774503361269289e-01
3.425000000000000000e+02 8.561205148098272044e-02 9.143879485190244960e-01
