# time_fs P_g_n0 P_g_n1 P_g_n2 P_g_n3 P_g_n4 P_e_n0 P_e_n1 P_e_n2 P_e_n3 P_e_n4
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999509705799540793e-01 4.896906946571390711e-05 6.028831776771695618e-08 6.220384782587413897e-11 5.470678977737690032e-14
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.993433229416298635e-01 6.538170417345019270e-04 2.849806844418694381e-06 1.017900831365469623e-08 3.077694618055180509e-11
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.975269274268681041e-01 2.453311075574512480e-03 1.963768213510647218e-05 1.231762125655973223e-07 6.392047834962995289e-10
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.948328561162927963e-01 5.111907897812024114e-03 5.480794303104425064e-05 4.254537033542461991e-07 2.589154807355999084e-09
1.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.925860948136473461e-01 7.327529883768156040e-03 8.573381621841684355e-05 6.381198423204337900e-07 3.366517514805358474e-09
1.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.919059183718643702e-01 8.004956452722129454e-03 8.860111304275279881e-05 5.221366706839383211e-07 1.925693916791574734e-09
1.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.926386740582977541e-01 7.290634409988764122e-03 7.037151941692638859e-05 3.190335628955391584e-07 9.787289117506556924e-10
2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.935002893302927740e-01 6.446176773475354588e-03 5.330395723750279251e-05 2.291356839929655896e-07 8.033053239181157415e-10
2.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.932352997159829000e-01 6.716207716502291605e-03 4.826150297690923153e-05 2.302876782492168400e-07 7.768532822200503919e-10
