intensity_meV,Evib_avg_eV
0.16,0.0009804331839719366
0.17,0.0009657361190283016
0.18,0.001265144005084593
0.19,0.002772660894714134
0.195,0.005257480143110186
0.196,0.0058207229751674125
0.197,0.006094269954567002
0.198,0.006246748163583366
0.199,0.006293347120027746
0.2,0.006212408957505738
0.201,0.006035208196050375
0.202,0.005704477246085926
0.203,0.005046210416133622
0.21,0.002058349228270264
0.22,0.0009069846177355562
0.23,0.0005460628647034314
0.24,0.00039747714352965423
