intensity,P_e_n2_avg
0.08,2.591837842006371e-05
0.09,6.556388648148954e-05
0.1,0.00023689109278792064
0.11,8.119600656838048e-05
0.12,1.3861661131632525e-05
0.13,4.358769212290254e-06
0.14,1.9045426689671286e-06
0.15,8.604308433530664e-07
0.16,4.0842219838562777e-07
0.17,1.7210032855219728e-07
0.18,4.903493965529401e-08
0.19,1.2544402181157524e-07
0.2,5.781303242081019e-07
0.21,4.193232492636718e-07
0.22,2.3340467230190226e-07
0.23,1.443676712370819e-07
0.24,9.930825259842108e-08
0.25,7.198601983335124e-08
