intensity,P_g_n2_avg
0.08,2.398509640705966e-25
0.09,2.362447564304074e-26
0.1,4.4000387547840784e-26
0.11,1.1835978210635709e-26
0.12,1.2003837953952118e-26
0.13,1.3300652355495527e-26
0.14,1.1108309924752438e-26
0.15,1.1738872386602052e-26
0.16,7.640495880230463e-27
0.17,4.9015694904544085e-27
0.18,2.9602239903116958e-27
0.19,1.3992136892610163e-27
0.2,1.834243441943466e-28
0.21,1.2224767195664602e-27
0.22,1.0030715381523838e-27
0.23,7.910427542925853e-28
0.24,6.0213944049657945e-28
0.25,4.579300042747418e-28
