intensity,P_e_n2_avg
0.15,3.09223203751515e-10
0.16,3.7381564341585663e-10
0.17,4.722658295342357e-10
0.18,6.482760689452619e-10
0.19,1.0105138585008672e-09
0.2,1.4327723135952282e-09
0.21,6.335331885975181e-10
0.22,4.3946163180177905e-10
0.23,4.810782995042821e-10
0.24,6.118941904182287e-10
0.25,7.750156952372294e-10
0.26,1.009434198458182e-09
0.27,1.3129214882071485e-09
0.28,1.7083959667849798e-09
0.29,2.3191662493419857e-09
0.3,3.2497437512269793e-09
0.31,4.830574417942096e-09
0.32,6.979502268256011e-09
0.33,1.0482605191391216e-08
0.34,1.7049124059192332e-08
0.35,2.9102184334323643e-08
0.36,5.223846176325449e-08
0.37,9.039135694089482e-08
0.38,1.827196110673227e-07
0.39,3.088687819756392e-07
0.4,3.32412790014425e-07
0.41,2.8838951125824497e-07
0.42,1.85102792324035e-07
0.43,1.0398153487820121e-07
0.44,6.187101148023925e-08
0.45,3.62753028588423e-08
