intensity,P_g_n1_avg
0.15,1.2191626368379417e-17
0.16,1.5613697625180145e-17
0.17,1.9672127412499847e-17
0.18,2.4427353718897768e-17
0.19,2.9938697318929736e-17
0.2,3.626371749618571e-17
0.21,4.345758108157389e-17
0.22,5.157245073151085e-17
0.23,6.065689813150247e-17
0.24,7.075534751649984e-17
0.25,8.19075545525554e-17
0.26,9.414812523224847e-17
0.27,1.0750607899626854e-16
0.28,1.2200445982744195e-16
0.29,1.3765999854976107e-16
0.3,1.544828290432794e-16
0.31,1.7247600461762268e-16
0.32,1.9163632395079364e-16
0.33,2.1195276573564328e-16
0.34,2.3340738023880053e-16
0.35,2.5597506633408934e-16
0.36,2.7962363673186576e-16
0.37,3.0431394039839353e-16
0.38,3.3000005138073094e-16
0.39,3.5662945720904615e-16
0.4,3.8414340355176817e-16
0.41,4.1247718259839177e-16
0.42,4.4156051663221886e-16
0.43,4.713179719128054e-16
0.44,5.016694088413635e-16
0.45,5.325304640978058e-16
