intensity,P_g_n0,P_g_n1,P_g_n2,P_e_n0,P_e_n1,P_e_n2
0.15,0.9999862801014763,9.891311088735858e-15,2.7110902949393e-17,1.3633350374728439e-05,8.57988404001872e-08,7.493455151335391e-10
0.16,0.9999863778810503,9.718987750852222e-15,2.6784269823503376e-17,1.3516960371152434e-05,1.0431438557794248e-07,8.410410468587273e-10
0.17,0.999986481209173,9.538694650398224e-15,2.644092269828972e-17,1.3378255889477848e-05,1.3956611453585772e-07,9.682296374032525e-10
0.18,0.9999865899409065,9.350961480806317e-15,2.608161513745676e-17,1.319003062729501e-05,2.1886157279571202e-07,1.1667031799368113e-09
0.19,0.999986703935076,9.156332923479878e-15,2.5707128065355748e-17,1.2848069266633858e-05,4.4638663257738665e-07,1.6093247402118135e-09
0.2,0.9999868230389911,8.955366107105867e-15,2.531826693598054e-17,1.2275083230961772e-05,8.999247543298362e-07,1.9506950879952105e-09
0.21,0.9999869471054617,8.748628045824838e-15,2.4915858845874894e-17,1.2564002057416532e-05,4.877089768400617e-07,1.1834640888530413e-09
0.22,0.9999870759667683,8.536693072270114e-15,2.4500749605275168e-17,1.269864047912334e-05,2.2434164753181078e-07,1.0511814915888499e-09
0.23,0.9999872094624531,8.320140281234755e-15,2.4073800782285268e-17,1.2640140153294932e-05,1.492472761224638e-07,1.1533692410708935e-09
0.24,0.9999873474133087,8.099550999314584e-15,2.363588673409855e-17,1.2528617366512226e-05,1.2262173182046544e-07,1.3482648119345308e-09
0.25,0.9999874896522788,7.875506295497016e-15,2.3187891639730223e-17,1.2392502977102492e-05,1.1623814663592229e-07,1.6066140955245446e-09
