Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.08,5.822215537991858e-07,1.302952368438673e-07,4.9681819398858305e-08,3.6536018901434065e-09
0.09,4.037622035124378e-07,1.9648750566574805e-07,3.585498857927258e-08,1.7419772030590646e-09
0.1,2.0202320159752663e-07,2.721016022934313e-07,2.6978972655206935e-08,8.564049212620672e-10
0.11,1.651507903482968e-07,3.0005476020698865e-07,1.7743467456858257e-08,4.041559313742509e-10
0.12,3.274841775883491e-07,2.581154237669914e-07,1.0281074451780094e-08,1.7503768058230287e-10
0.13,5.046025712647337e-07,2.0721408090289897e-07,6.320536779829271e-09,8.660779865197358e-11
0.14,6.309219285910311e-07,1.546009823131285e-07,3.770269060419443e-09,4.288422249108633e-11
0.15,7.117869900239021e-07,1.1417843508930026e-07,2.2714109568091357e-09,2.1760111492071833e-11
0.16,7.637287953720831e-07,8.582169308617239e-08,1.4164135217767499e-09,1.1569465693354283e-11
0.17,7.981695523392292e-07,6.609379639087819e-08,9.185101426932692e-10,6.467319219282232e-12
0.18,8.218496278561079e-07,5.2135056956861543e-08,6.180529339247096e-10,3.788093992035518e-12
0.19,8.386975138869514e-07,4.20192352199566e-08,4.297745313046694e-10,2.3128566635306436e-12
0.2,8.510532947810223e-07,3.450758731575434e-08,3.075482908937198e-10,1.4644967356009327e-12
0.21,8.603563689562473e-07,2.8801937963724724e-08,2.2564044761795705e-10,9.573718478612006e-13
0.22,8.675221687504569e-07,2.4378906619821464e-08,1.6918396158286546e-10,6.435611534320063e-13
0.23,8.731515559052567e-07,2.088757196497442e-08,1.2929042648206654e-10,4.4333365439402065e-13
0.24,8.776504339462972e-07,1.8087181563144488e-08,1.0047344620619881e-10,3.1218458856010573e-13
