Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.08,0.9999992340214066,1.0765554049381072e-13,1.0275372068344504e-14,3.359122807133766e-16
0.09,0.9999993621098141,8.15805552946397e-14,3.8075346600350354e-15,8.272007471330298e-17
0.1,0.9999994980397859,3.2214469759508854e-14,8.56217889684707e-16,1.2502554061767022e-17
0.11,0.9999995166467874,3.941498732220275e-14,5.149888701822516e-16,5.002431251038953e-18
0.12,0.9999994039442153,6.968219933078417e-14,6.789106254152125e-16,5.087513078150912e-18
0.13,0.9999992817761325,7.044906384311461e-14,5.364021834989107e-16,3.264617533070695e-18
0.14,0.9999992106638808,5.49535464518486e-14,3.3500898758026135e-16,1.6935233158851627e-18
0.15,0.9999991717413648,3.913188478880638e-14,1.94619288937952e-16,8.2867749070819e-19
0.16,0.9999991490215007,2.737851351831531e-14,1.1296572167528213e-16,4.1012516373134255e-19
0.17,0.9999991348116548,1.9335321804555766e-14,6.71769192009312e-17,2.1024438182792124e-19
0.18,0.9999991253934594,1.3907650550892154e-14,4.1218897703500564e-17,1.1229378511402553e-19
0.19,0.9999991188511513,1.0209122316503284e-14,2.610530010097764e-17,6.24369518420672e-20
0.2,0.9999991141300963,7.643672949688489e-15,1.7031376213465742e-17,3.6037318969384024e-20
0.21,0.9999991106150887,5.828467677598986e-15,1.1415671894428307e-17,2.1525077719761995e-20
0.22,0.9999991079290933,4.518669935958363e-15,7.839891018721719e-18,1.3252928013421185e-20
0.23,0.9999991058311356,3.555956751022346e-15,5.5028780790608596e-18,8.378397053271621e-21
0.24,0.9999991041615955,2.836215292088702e-15,3.93893053654951e-18,5.435096658993948e-21
