Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.16,2.6917269157584954e-09,5.335028466523063e-11,5.006551442905439e-13,2.7837995373896542e-15
0.17,2.668103472499134e-09,5.7630944579061785e-11,5.658993169386299e-13,3.2024777558883536e-15
0.18,2.6436695273489023e-09,6.250270584464266e-11,6.409955312479953e-13,3.693736949393152e-15
0.19,2.617978676575379e-09,6.817135352163434e-11,7.291152446492773e-13,4.286333486546306e-15
0.2,2.590302505926334e-09,7.465796430931137e-11,8.313660748253679e-13,4.9599825258246264e-15
0.21,2.560970692652073e-09,8.21620537585012e-11,9.51151378039234e-13,5.760936307019858e-15
0.22,2.5306402244727095e-09,9.092708110827484e-11,1.0926376321977466e-12,6.710475352323786e-15
0.23,2.498229273987064e-09,1.0118401809330053e-10,1.2604853708952079e-12,7.843015932904887e-15
0.24,2.464193789854677e-09,1.1330467926837865e-10,1.4613142677850534e-12,9.204933799951942e-15
0.25,2.4281588176490643e-09,1.2774955377143918e-10,1.7037375612633763e-12,1.0857430599218984e-14
0.26,2.3890566035006037e-09,1.4481316801430879e-10,1.9947402542325364e-12,1.2854913397178521e-14
0.27,2.347467705347744e-09,1.6547901585947239e-10,2.351976459488942e-12,1.5321421850527858e-14
0.28,2.303740938693967e-09,1.9050109517733528e-10,2.7908575465695793e-12,1.8370866694683557e-14
0.29,2.256016523500405e-09,2.2128320731970963e-10,3.3387690815864008e-12,2.2203148241225935e-14
0.3,2.2040446619307283e-09,2.5882172420450565e-10,4.01864176138256e-12,2.6995846253176383e-14
0.31,2.146940387156821e-09,3.047587640691234e-10,4.865746597936041e-12,3.301729470103642e-14
0.32,2.0836672527147824e-09,3.6236326702943086e-10,5.945825241852315e-12,4.075389014182442e-14
0.33,2.013748045208292e-09,4.328859620011538e-10,7.29604829798892e-12,5.052168561079022e-14
0.34,1.9358109663374545e-09,5.189063654560842e-10,8.979345779369766e-12,6.282340628068593e-14
0.35,1.8492510617423186e-09,6.214008173135648e-10,1.1036923446029988e-11,7.804233873138599e-14
0.36,1.757837649830569e-09,7.345409430694092e-10,1.3386752577092121e-11,9.569958518902779e-14
0.37,1.6666165321277532e-09,8.499985046000626e-10,1.5891927924746615e-11,1.1489706729972872e-13
0.38,1.585703004818289e-09,9.476277478524566e-10,1.8177816647432312e-11,1.3474951621951085e-13
0.39,1.5289504406887605e-09,9.988460262106542e-10,1.9654338131852242e-11,1.4751706623578383e-13
0.4,1.5035226726322985e-09,9.887421123744506e-10,1.995770419642942e-11,1.517566860131974e-13
0.41,1.5055044666984189e-09,9.223642294046711e-10,1.9102418862685373e-11,1.4726615470575264e-13
0.42,1.524491759801542e-09,8.196541270837888e-10,1.7420571317828117e-11,1.3626094753510198e-13
0.43,1.5473235630005635e-09,7.051232570367028e-10,1.538513948886926e-11,1.2220586295325668e-13
0.44,1.5659302036766148e-09,5.965252381817479e-10,1.3368202259941347e-11,1.07932603704846e-13
