Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.16,0.9999999972544217,4.35440173071825e-19,2.2388929044848354e-22,3.277230944356384e-25
0.17,0.999999997273701,8.846100595019858e-19,3.111540320856192e-22,4.31510546404105e-25
0.18,0.9999999972931798,2.2272902131062268e-18,4.31287550682389e-22,5.508686261395761e-25
0.19,0.9999999973131176,9.210881567972719e-18,5.97496188770821e-22,7.4565481335560025e-25
0.2,0.9999999973341989,7.64818204161091e-16,8.307679229313033e-22,9.909661673153128e-25
0.21,0.9999999973559074,2.1614249312910826e-17,1.1497629668602891e-21,1.3020753857309126e-24
0.22,0.9999999973773378,5.470688322282876e-18,1.6029338680831192e-21,1.710679751954923e-24
0.23,0.9999999973993277,2.7420033796662288e-18,2.2472408408926066e-21,2.2502192961592476e-24
0.24,0.9999999974210271,1.788988670237803e-18,3.173677476652676e-21,2.9631835503616537e-24
0.25,0.9999999974423754,1.3560329698982554e-18,4.5252980674259315e-21,3.90975679272228e-24
0.26,0.999999997464123,1.1259247830057754e-18,6.524748777471615e-21,5.166563001993638e-24
0.27,0.9999999974846875,1.001895182173219e-18,9.54568394772696e-21,6.851220127031691e-24
0.28,0.9999999975029487,9.388900907724016e-19,1.4224536324092533e-20,9.165150042563311e-24
0.29,0.9999999975193418,9.18265778967693e-19,2.1622098616301896e-20,1.2333763736501026e-23
0.3,0.9999999975330885,9.288465252051385e-19,3.3727652466314526e-20,1.6714148926939042e-23
0.31,0.9999999975434041,9.66009377992061e-19,5.422116106532297e-20,2.287486393563729e-23
0.32,0.9999999975479794,1.0285908926334364e-18,9.076817787708371e-20,3.171239655358289e-23
0.33,0.9999999975460204,1.1121823624403108e-18,1.6022921505854076e-19,4.457496232580099e-23
0.34,0.9999999975362459,1.2138191223397817e-18,3.040217421076781e-19,6.384751200842467e-23
0.35,0.999999997518236,1.3243662650253822e-18,6.454750149168204e-19,9.400262286213496e-23
0.36,0.9999999974941409,1.4225383128146038e-18,1.6533319155249433e-18,1.4441917790090826e-22
0.37,0.9999999974673803,1.49129697523455e-18,6.568727588271288e-18,2.4113239589139017e-22
0.38,0.9999999974483571,1.5125438001293536e-18,1.8992316689464383e-16,4.9235284843887725e-22
0.39,0.9999999974524004,1.471907870456574e-18,3.623277025525776e-17,1.5208721140831006e-21
0.4,0.9999999974876261,1.7646744937842653e-18,1.3073284904223295e-17,3.050151205191082e-20
0.41,0.9999999975528765,1.408337049708089e-18,1.7598189006685214e-17,6.860189223416012e-21
0.42,0.9999999976383016,1.1865583469590515e-18,2.4336691823155974e-16,1.5247655567710418e-21
0.43,0.9999999977320471,1.0438447333006774e-18,2.9598021152387795e-17,8.199581293581741e-22
0.44,0.9999999978240649,9.151604088746004e-19,4.364703305544111e-18,5.922381974169788e-22
