Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.2,5.085956590926871e-10,2.7966448034454447e-11,4.379128727964254e-13,3.104757741039103e-15
0.2005,5.083340817024588e-10,2.8139768692298956e-11,4.411705375193146e-13,3.127468912644678e-15
0.201,5.080578946981478e-10,2.8315228764192745e-11,4.444634437940838e-13,3.1516637573940277e-15
0.2011,5.08007166082964e-10,2.8352257546594427e-11,4.451390115674478e-13,3.156002650739336e-15
0.2012,5.079570826595202e-10,2.8387913359543862e-11,4.457915904852263e-13,3.1605715236667073e-15
0.20125,5.079383601637946e-10,2.840628733574927e-11,4.4613231944060975e-13,3.163164967317702e-15
0.2013,5.079161094865631e-10,2.8424333902892138e-11,4.4647771199563543e-13,3.1660441957516205e-15
0.20132,5.079040321583243e-10,2.84311995502401e-11,4.466106549123911e-13,3.167201904437162e-15
0.20134,5.078879777521189e-10,2.8437829233359662e-11,4.467419416420834e-13,3.1683234986953e-15
0.20136,5.078669195087936e-10,2.8444023089214802e-11,4.468618487926734e-13,3.169229892941824e-15
0.20138,5.078470661975759e-10,2.845030601960971e-11,4.469820792269582e-13,3.169900287267517e-15
0.2014,5.078285242328589e-10,2.845672154674625e-11,4.471047902234584e-13,3.1704869594761795e-15
0.20145,5.077928085535557e-10,2.8473515582812618e-11,4.4741899842479896e-13,3.1723198100207327e-15
0.2015,5.077694385257115e-10,2.8492324727608837e-11,4.4776621174270797e-13,3.17461958957902e-15
0.2016,5.077202886945139e-10,2.853039588219488e-11,4.484653945127741e-13,3.1796517807184712e-15
0.2017,5.076624564118651e-10,2.8565258603910394e-11,4.491259557414011e-13,3.1842956005893975e-15
0.202,5.075005427634737e-10,2.8672693462773196e-11,4.511380183924711e-13,3.198755484311971e-15
0.203,5.069400213964787e-10,2.903297312929959e-11,4.578961289222018e-13,3.246405441649039e-15
0.205,5.057946758903388e-10,2.977033661609416e-11,4.717413417849418e-13,3.34595944809449e-15
