Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.2,0.9999999994629972,4.179913846203405e-16,2.6550764480588455e-22,2.0237717464849838e-25
0.2005,0.9999999994630823,1.0403308609823676e-15,2.6583626449643033e-22,1.997121945463676e-25
0.201,0.9999999994631762,5.083407420087907e-15,2.6365247466688314e-22,1.971675932088737e-25
0.2011,0.9999999994631824,8.117194655134946e-15,2.6853255814684295e-22,2.026492167575011e-25
0.2012,0.9999999994631934,1.3079458512044386e-14,2.7084741009540693e-22,2.0134428366533867e-25
0.20125,0.9999999994631894,1.5695069524024935e-14,2.71229545426534e-22,2.037089711649694e-25
0.2013,0.9999999994631912,1.7522134584422993e-14,2.720387370733864e-22,2.0465332329630246e-25
0.20132,0.9999999994631991,1.7880593872989645e-14,2.726509073860734e-22,2.0324106085852765e-25
0.20134,0.9999999994632044,1.798619687050302e-14,2.7348189202605093e-22,2.0462866231563262e-25
0.20136,0.999999999463224,1.78325070617995e-14,2.745419027937581e-22,2.084522176637674e-25
0.20138,0.9999999994632339,1.742905981233763e-14,2.757127177427669e-22,2.1542266921285705e-25
0.2014,0.9999999994632446,1.6800705839037698e-14,2.769054275959126e-22,2.2219650223709504e-25
0.20145,0.9999999994632726,1.4509602198731457e-14,2.7941574358905375e-22,2.068200265903267e-25
0.2015,0.9999999994632709,1.1787110812691648e-14,2.807207884522805e-22,1.9139791454623042e-25
0.2016,0.9999999994632871,7.24984985033058e-15,2.813602109964219e-22,2.163669266515481e-25
0.2017,0.9999999994633156,4.616308929516382e-15,2.8213471260888533e-22,2.0217513787248558e-25
0.202,0.9999999994633699,1.6471229084427932e-15,2.847147029671682e-22,1.830705536316489e-25
0.203,0.9999999994635665,2.842283036517855e-16,2.9412782004689706e-22,2.24611684437989e-25
0.205,0.9999999994639658,6.080535854665915e-17,3.140344256993532e-22,2.356639002225428e-25
