Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.2,2.5076686064048385e-10,2.1896944653063117e-11,3.830746464437056e-13,2.8267523041582022e-15
0.2005,2.5062693821320443e-10,2.2043973220164167e-11,3.859588918359313e-13,2.8481408530861816e-15
0.201,2.50490185723586e-10,2.2191818526185885e-11,3.8885550287166675e-13,2.8701769389607193e-15
0.2011,2.504664096957191e-10,2.222118191093717e-11,3.8944542042205403e-13,2.8752894601988773e-15
0.2012,2.504449226624913e-10,2.225246494199459e-11,3.9003825145300295e-13,2.8794363269086162e-15
0.20125,2.5043036368541014e-10,2.226818836612765e-11,3.9033265764170975e-13,2.8811918247975474e-15
0.2013,2.504153179554602e-10,2.2283453395763852e-11,3.906235307824151e-13,2.8827821458388647e-15
0.20134,2.503966742972988e-10,2.2295221519452126e-11,3.9085130171273324e-13,2.884196063358165e-15
0.20138,2.503792329598986e-10,2.2306747189647225e-11,3.9107591093828926e-13,2.885691730457971e-15
0.2014,2.5037059246736947e-10,2.2312162260691404e-11,3.9118217823345113e-13,2.886607931076426e-15
0.20145,2.5035219374235343e-10,2.2326023432929427e-11,3.914554801722934e-13,2.8888939759967644e-15
0.2015,2.503367424999693e-10,2.2340513855318505e-11,3.9174082835326007e-13,2.8914051064303435e-15
0.2016,2.503081096181947e-10,2.2371080281299407e-11,3.9234495535548596e-13,2.8960552128284943e-15
0.2017,2.5028433512616863e-10,2.2401480608242134e-11,3.9294339357862137e-13,2.900362710091381e-15
0.202,2.5019861853841826e-10,2.2491917255672043e-11,3.947086102981523e-13,2.913487094435874e-15
0.203,2.4990365319291687e-10,2.279558142284047e-11,4.0064894530226996e-13,2.9575546147082446e-15
