Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.2,2.590248242089396e-09,7.465670000747509e-11,8.313542164425774e-13,4.960639619458508e-15
0.2005,2.589636807363368e-09,7.500287439061123e-11,8.36752669531013e-13,4.997615272933084e-15
0.201,2.5875602771413818e-09,7.534431544444501e-11,8.422662537807846e-13,5.034930936612669e-15
0.2011,2.5876775515893985e-09,7.544056245336337e-11,8.437086498809339e-13,5.043937826390597e-15
0.2012,2.5870876236281016e-09,7.552071313999073e-11,8.449995781657412e-13,5.052172134063931e-15
0.20125,2.5866514628332456e-09,7.554585919057814e-11,8.454440296423335e-13,5.055506564353331e-15
0.2013,2.5870230576689728e-09,7.557623167587946e-11,8.458764478761859e-13,5.0585481400101326e-15
0.20132,2.5872138462436775e-09,7.558849324944147e-11,8.460482501959326e-13,5.059735154466071e-15
0.20134,2.5873105154634446e-09,7.559930317471268e-11,8.462124437216145e-13,5.06085045322241e-15
0.20136,2.5872059263355395e-09,7.560879004171309e-11,8.463778422245983e-13,5.062164228482786e-15
0.20138,2.586976271520126e-09,7.561787017570185e-11,8.465535159411616e-13,5.063504358743731e-15
0.2014,2.5866481296334123e-09,7.562761805357966e-11,8.467519345288617e-13,5.06507378505133e-15
0.20145,2.586063648942924e-09,7.566091376308208e-11,8.473399448466663e-13,5.068984056769923e-15
0.2015,2.586291787005091e-09,7.57126785268936e-11,8.480872256784709e-13,5.0735111799639684e-15
0.2016,2.58615511005003e-09,7.580871049959795e-11,8.495352320416722e-13,5.082556895432795e-15
0.2017,2.585591914641324e-09,7.586918286290396e-11,8.505318956267035e-13,5.08968364552276e-15
0.202,2.5852054353554578e-09,7.609400853208753e-11,8.540533160490682e-13,5.112811087330098e-15
0.203,2.5823242316218376e-09,7.681556250992053e-11,8.655005101874971e-13,5.189911971410847e-15
