intensity,P_e_n2_avg
0.15,7.5032242049777e-10
0.16,8.374745928147895e-10
0.17,9.492793291119287e-10
0.18,1.1276202040167532e-09
0.19,1.5973163343292063e-09
0.2,1.9665816814424947e-09
0.21,1.1870431585406486e-09
0.22,1.0417109163918682e-09
0.23,1.130504451661447e-09
0.24,1.3329773296735616e-09
0.25,1.5933406012597299e-09
0.26,1.9573867957639545e-09
0.27,2.3975774990072145e-09
0.28,2.963661952600421e-09
0.29,3.8234754044349254e-09
0.3,5.078803559196604e-09
0.31,7.234992785635686e-09
0.32,1.0002014998645911e-08
0.33,1.4373825368387338e-08
0.34,2.245608212174826e-08
0.35,3.66536618114054e-08
0.36,6.285886017377111e-08
0.37,1.0498089427193967e-07
0.38,2.0291445773360518e-07
0.39,3.2534600183310247e-07
0.4,3.292877803055325e-07
0.41,2.686815722014774e-07
0.42,1.6245066341973288e-07
0.43,8.688814162179275e-08
0.44,4.904610415310098e-08
0.45,2.7580684355427733e-08
