intensity,P_g_n2_avg
0.15,2.711090294936777e-17
0.16,2.6784269823478616e-17
0.17,2.6440922698263624e-17
0.18,2.6081615137433038e-17
0.19,2.57071280653323e-17
0.2,2.5318266935953044e-17
0.21,2.491585884585249e-17
0.22,2.4500749605253246e-17
0.23,2.407380078226416e-17
0.24,2.3635886734076672e-17
0.25,2.3187891639710696e-17
0.26,2.2730706548056808e-17
0.27,2.226522645503598e-17
0.28,2.1792347422907913e-17
0.29,2.131296375451955e-17
0.3,2.082796523474211e-17
0.31,2.0241693159796492e-17
0.32,1.9750240621792048e-17
0.33,1.9255807543641308e-17
0.34,1.8759236332848188e-17
0.35,1.826135251770068e-17
0.36,1.7762962616116465e-17
0.37,1.7264852135684976e-17
0.38,1.6767373419751515e-17
0.39,1.6272096036564498e-17
0.4,1.577931059628985e-17
0.41,1.5289701365369212e-17
0.42,1.4803923744269305e-17
0.43,1.4322603146466357e-17
0.44,1.3846334030448196e-17
0.45,1.337567908443966e-17
