Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.08,6.398840548877252e-07,1.430092774395515e-07,5.458787955069857e-08,4.015031079901576e-09
0.09,4.6184914110633083e-07,2.1949801825191182e-07,4.064063220014692e-08,1.981650412087732e-09
0.1,2.3588429967093291e-07,2.8550731720684844e-07,2.9899886081954626e-08,9.676129867881022e-10
0.11,1.4996214136173433e-07,2.821734255411985e-07,1.7794438036269677e-08,4.1852581562685047e-10
0.12,2.776416877342175e-07,2.2500820388568086e-07,9.172514725998472e-09,1.585988423393533e-10
0.13,4.4411607678389865e-07,1.8293290903394892e-07,5.5924881997101284e-09,7.676002116110207e-11
0.14,5.714753380685946e-07,1.4006539959097795e-07,3.4161571536610508e-09,3.8859100175009355e-11
0.15,6.570084251647991e-07,1.0539087298184427e-07,2.0965935361865974e-09,2.0085126432622636e-11
0.16,7.142126396866531e-07,8.025747969144266e-08,1.3245814942616281e-09,1.0819175901941222e-11
0.17,7.535353645093248e-07,6.239778745712431e-08,8.67146903067645e-10,6.105454730795206e-12
0.18,7.814795074697047e-07,4.9574130145235895e-08,5.876939980381764e-10,3.601827772024507e-12
0.19,8.019825014923499e-07,4.017979345200688e-08,4.1096088812964975e-10,2.2115018158757942e-12
0.2,8.174618235315967e-07,3.3145558189584287e-08,2.954092543312573e-10,1.4066884192162437e-12
0.21,8.294432377835471e-07,2.776706809175335e-08,2.1753303371480516e-10,9.229736645039318e-13
0.22,8.389194793896997e-07,2.3575121470995833e-08,1.6360595425909248e-10,6.223065113282616e-13
0.23,8.465558081599747e-07,2.0251348230193977e-08,1.253521208454503e-10,4.2990226900087833e-13
0.24,8.52810358442066e-07,1.7575262167910816e-08,9.762953640438899e-11,3.0343253101357043e-13
