Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.08,0.9999991583648529,1.300128586693332e-13,1.2412380803503235e-14,4.057843678266746e-16
0.09,0.9999992759809629,1.0676528379441726e-13,4.997502072694875e-15,1.0862936068570833e-16
0.1,0.999999447740839,4.3853672618697454e-14,1.2178445805110338e-15,1.795951260898099e-17
0.11,0.9999995496514379,2.986670657761025e-14,4.1011041656068083e-16,4.136437728980716e-18
0.12,0.9999994880189443,5.150602991552552e-14,5.053691498396176e-16,3.8214598206556536e-18
0.13,0.9999993672817103,5.48414731835738e-14,4.17906281131959e-16,2.5461985046727855e-18
0.14,0.9999992850042002,4.510245664155162e-14,2.749647526570226e-16,1.3899988613554638e-18
0.15,0.9999992354839902,3.334031262613658e-14,1.6581509540844538e-16,7.059919759838147e-19
0.16,0.9999992041944565,2.3943445607814025e-14,9.87922202714687e-17,3.586342345271144e-19
0.17,0.9999991831935775,1.7233293699832392e-14,5.987365639838753e-17,1.873515835076051e-19
0.18,0.9999991683550555,1.2574888481637957e-14,3.726878793143995e-17,1.0150069358004528e-19
0.19,0.9999991574245242,9.334850314500408e-15,2.3869672946325736e-17,5.70732767190269e-20
0.2,0.999999149095795,7.052179229012223e-15,1.5713430686354932e-17,3.324792462374271e-20
0.21,0.9999991425712325,5.417148935882391e-15,1.0610055754931203e-17,2.0006118867251236e-20
0.22,0.9999991373411652,4.225613513448509e-15,7.331420990681032e-18,1.238822948288311e-20
0.23,0.9999991330670587,3.342628434948104e-15,5.172774655595952e-18,7.885581761336075e-21
0.24,0.9999991295164421,2.6779387544012208e-15,3.719142213353116e-18,5.142728603549902e-21
