Rabi_meV,P_e_0_avg,P_e_1_avg,P_e_2_avg,P_e_3_avg
0.16,2.660875749328127e-09,9.741384920506661e-11,1.4776579754237823e-12,1.1545415055014949e-14
0.17,2.637863674383682e-09,1.0266396160843918e-10,1.5638276489652894e-12,1.2135242248841842e-14
0.18,2.6129047339751655e-09,1.0852370464841738e-10,1.6611972264632628e-12,1.2842805333226036e-14
0.19,2.58618227730592e-09,1.1530806564658338e-10,1.7744295863826512e-12,1.3614805820968777e-14
0.2,2.5584424047387453e-09,1.2299576337621708e-10,1.90356339343296e-12,1.4516402301584795e-14
0.21,2.529217303574235e-09,1.3177495042400076e-10,2.0527858885916403e-12,1.5551510346816834e-14
0.22,2.497691502627419e-09,1.4194065414592258e-10,2.226474634145212e-12,1.6760771925830947e-14
0.23,2.4646680734483495e-09,1.5374486615710042e-10,2.430065079667858e-12,1.8184163338107017e-14
0.24,2.4294629602953216e-09,1.675412808354566e-10,2.6700614522545184e-12,1.9864823131617822e-14
0.25,2.392025757157185e-09,1.8383457274926408e-10,2.9557281551493727e-12,2.1868546613598853e-14
0.26,2.353229674943362e-09,2.0282614954820238e-10,3.2928229872318685e-12,2.4244521852439e-14
0.27,2.3114883472910035e-09,2.25595877378662e-10,3.70082050241575e-12,2.712791557758618e-14
0.28,2.2659530911278607e-09,2.5277137232917413e-10,4.193644252269914e-12,3.062653625859821e-14
0.29,2.216991432436445e-09,2.8579910501496166e-10,4.799494250006196e-12,3.4945884704702575e-14
0.3,2.164170450345875e-09,3.2544970587118954e-10,5.537282767697175e-12,4.0235766375375517e-14
0.31,2.1070230429867258e-09,3.7312341857915867e-10,6.4386326577032325e-12,4.674231936165673e-14
0.32,2.0433853203777847e-09,4.320334407912024e-10,7.568282309587377e-12,5.494373257546348e-14
0.33,1.9732529365618154e-09,5.026861272824658e-10,8.950345416502077e-12,6.506978368529074e-14
0.34,1.896171511407575e-09,5.869880673902318e-10,1.063408032173256e-11,7.751770586787783e-14
0.35,1.812774126301901e-09,6.849304234193953e-10,1.2641103982501506e-11,9.253306600258046e-14
0.36,1.7270468786000697e-09,7.889559846149426e-10,1.4854632783753886e-11,1.0937762138513914e-13
0.37,1.6434701560134045e-09,8.898282874027137e-10,1.711311712636325e-11,1.2694689104569854e-13
0.38,1.5731806764227965e-09,9.670631803959681e-10,1.9028715860471988e-11,1.444469425605096e-13
0.39,1.5291452542868403e-09,9.937945791150732e-10,2.0034865600428323e-11,1.53813370140994e-13
0.4,1.5158399828709337e-09,9.592860827637318e-10,1.984460513466804e-11,1.5438577364871905e-13
0.41,1.5277215127340748e-09,8.727428768775933e-10,1.8559742899505335e-11,1.4663268490657357e-13
0.42,1.5526061708342234e-09,7.564790808619214e-10,1.6565742816033502e-11,1.331822480043964e-13
0.43,1.578944659835768e-09,6.348348071210433e-10,1.4343928374188483e-11,1.176105204513779e-13
0.44,1.5983387605772026e-09,5.239701170250853e-10,1.2239992991995e-11,1.025718264592913e-13
