Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.16,0.9999999972402231,1.1951248369963567e-18,2.55753807795361e-21,3.388212070654882e-24
0.17,0.9999999972578948,1.8114149693632392e-18,2.9346738164883098e-21,4.012615294403745e-24
0.18,0.9999999972768996,3.4649347401765743e-18,3.40634821915072e-21,4.769019732964666e-24
0.19,0.9999999972967184,1.1214048257038979e-17,3.9962783692546475e-21,5.680283710488715e-24
0.2,0.9999999973166421,7.610970602696498e-16,4.730148709171839e-21,6.768405644727765e-24
0.21,0.9999999973369373,1.856029801726742e-17,5.7050622400040304e-21,8.136334455000366e-24
0.22,0.9999999973581212,4.294476620190175e-18,6.954353794569332e-21,9.841226720412574e-24
0.23,0.9999999973791384,2.0733239938506446e-18,8.604957197596878e-21,1.1931539954079893e-23
0.24,0.9999999974003059,1.3575145415111537e-18,1.0804175872997394e-20,1.454312994465306e-23
0.25,0.9999999974211625,1.0587633642044638e-18,1.3801237955016003e-20,1.7843752685640615e-23
0.26,0.9999999974406246,9.180793110839037e-19,1.7963201527615808e-20,2.2059199295068508e-23
0.27,0.9999999974591878,8.556684471581352e-19,2.3906057619361663e-20,2.756608152408512e-23
0.28,0.9999999974770502,8.379257845360945e-19,3.251915722413253e-20,3.469897484108418e-23
0.29,0.9999999974923744,8.514005937714689e-19,4.540838779957296e-20,4.42865327964705e-23
0.3,0.9999999975048023,8.87219788102673e-19,6.546774767539112e-20,5.730654728080525e-23
0.31,0.9999999975133698,9.418256470387571e-19,9.780083514863371e-20,7.537630650699019e-23
0.32,0.9999999975169612,1.0161473036768583e-18,1.527955695717324e-19,1.0125821328063066e-22
0.33,0.9999999975150419,1.1033081151422541e-18,2.531688388264387e-19,1.3940929811552672e-22
0.34,0.9999999975061207,1.2004015495470808e-18,4.53061009151652e-19,1.9824523320419768e-22
0.35,0.9999999974895645,1.2987138683229192e-18,9.110719726245222e-19,2.949984786066858e-22
0.36,0.9999999974690332,1.3777984575451077e-18,2.2186315955825453e-18,4.690566008847817e-22
0.37,0.999999997449462,1.4217997054735768e-18,8.418702955255977e-18,8.314551752116545e-22
0.38,0.9999999974405805,1.4167007036724737e-18,2.298206023787279e-16,1.8193252844571196e-21
0.39,0.9999999974568783,1.3588080334382416e-18,4.0699836682877117e-17,6.032973112453864e-21
0.4,0.9999999975048743,1.5829933463043483e-18,1.3308533109880596e-17,1.2141660288731541e-19
0.41,0.9999999975808305,1.3360935239447749e-18,1.5586328392490142e-17,2.523835435923673e-20
0.42,0.9999999976742161,1.0855686868048404e-18,1.9729944889377853e-16,4.908859639859562e-21
0.43,0.9999999977717577,9.338362272749257e-19,2.2608307257557417e-17,2.282752756977809e-21
0.44,0.9999999978653497,8.006908276598446e-19,3.1981888097306566e-18,1.4440591088562345e-21
