intensity,P_e_n1_avg
0.06,5.182349070117629e-05
0.07,0.0002066165598968695
0.08,0.00012041541555640087
0.09,0.0002092840881783256
0.1,0.0002502937629287579
0.11,0.0002405832146751834
0.12,0.0001787837123179676
0.13,0.00011984706020200479
0.14,8.707590849710364e-05
0.15,6.747702133257551e-05
0.16,5.8472012324670796e-05
0.17,6.0645226578370425e-05
0.18,8.571516975433655e-05
0.19,0.00023016657384845662
0.2,0.00042039502296007856
0.21,0.0001804794520374946
0.22,6.70707928286154e-05
0.23,3.5172466801140956e-05
0.24,2.377923051940306e-05
0.25,1.766110094237624e-05
