intensity,P_g_n2_avg
0.06,9.8737695328464e-24
0.07,1.1374192479391303e-24
0.08,1.919858485265613e-24
0.09,2.6800275534095967e-25
0.1,4.219258273295933e-25
0.11,1.0735430472203968e-25
0.12,1.126410673156987e-25
0.13,1.4804120746833598e-25
0.14,1.4339731457249113e-25
0.15,1.81244674075139e-25
0.16,1.3145682792902466e-25
0.17,9.324652163474954e-26
0.18,6.212291044925746e-26
0.19,3.238059077521649e-26
0.2,3.687748428355118e-27
0.21,3.1912111418656435e-26
0.22,2.8181240658982304e-26
0.23,2.4127159036630566e-26
0.24,1.9779252553861846e-26
0.25,1.6149002331160434e-26
