intensity,P_e_n1_avg
0.15,8.627641838549972e-08
0.16,1.0422398178457249e-07
0.17,1.3848562482719522e-07
0.18,2.1787605290640423e-07
0.19,4.331002025686096e-07
0.2,9.275530353968067e-07
0.21,4.959531455059727e-07
0.22,2.2580448087993377e-07
0.23,1.530981141165057e-07
0.24,1.2285207918139474e-07
0.25,1.1598770646682962e-07
0.26,1.1810208353392282e-07
0.27,1.2403467565704962e-07
0.28,1.33914750516125e-07
0.29,1.5099992768163133e-07
0.3,1.7441514993390774e-07
0.31,2.0143760574356478e-07
0.32,2.3295417463737827e-07
0.33,2.735679751615261e-07
0.34,3.267045872487168e-07
0.35,3.986356404707841e-07
0.36,4.83468189348572e-07
0.37,5.143739238043837e-07
0.38,5.746550060865108e-07
0.39,6.06594049537408e-07
0.4,5.744605213612438e-07
0.41,5.54111701024221e-07
0.42,4.780198531616391e-07
0.43,4.01656844833028e-07
0.44,3.24387363041977e-07
0.45,2.580931328196135e-07
