cv,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV
0.2,1.4472557626661266e-11,9.889865235843746e-15,1.4462667761425424e-11
0.2002,1.4535855690919379e-11,6.900706600318418e-14,1.4466848624916195e-11
0.2003,1.4620863915194007e-11,1.4938724084777738e-13,1.4471476674346227e-11
0.20032,1.4629860352380746e-11,1.5603105149303782e-13,1.4473829300887712e-11
0.20034,1.463357111800948e-11,1.5711475642918241e-13,1.4476456361580297e-11
0.20036,1.4631578774616152e-11,1.5252712788713525e-13,1.4479051646729018e-11
0.2004,1.4611797162721692e-11,1.287274731782727e-13,1.4483069689543417e-11
0.2006,1.4501674542232096e-11,1.2883521642426219e-14,1.4488791020589668e-11
0.2008,1.4508983600054634e-11,4.440570380533271e-15,1.4504543029674102e-11
0.201,1.4513051208120263e-11,2.2271209904697556e-15,1.4510824087129794e-11
0.202,1.4566001620307497e-11,3.7217126684917724e-16,1.4565629449040648e-11
0.204,1.467182656466268e-11,7.748170158529899e-17,1.4671749082961095e-11
0.206,1.4789715794070477e-11,3.197286977681362e-17,1.4789683821200697e-11
0.208,1.4909461027824907e-11,1.7588214754778983e-17,1.4909443439610153e-11
0.21,1.502914916365843e-11,1.104421204967568e-17,1.5029138119446375e-11
