cv,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
0.2,1.124970981649009e-14,1.1428036135130769e-20,2.796263461878624e-10,3.071383256474776e-12
0.201,1.904966698969507e-13,1.1661193170148145e-20,2.807129771037688e-10,3.0927564765910393e-12
0.2012,1.2932620251515734e-12,1.1750155041245481e-20,2.8079234457026496e-10,3.0951563633355762e-12
0.20124,1.9800706848785985e-12,1.1784605402041782e-20,2.8077859778848523e-10,3.0954665956259965e-12
0.20126,2.3209386106138202e-12,1.1784680030447017e-20,2.807778283206047e-10,3.095724376271213e-12
0.20128,2.622397228331134e-12,1.176761950892152e-20,2.8078751817081434e-10,3.09608299469169e-12
0.2013,2.8567697579082514e-12,1.1733108368704106e-20,2.808105101907372e-10,3.096561472973456e-12
0.20132,3.0013935866426185e-12,1.168620864629644e-20,2.8084625824041505e-10,3.097144063046372e-12
0.20134,3.0417783498576194e-12,1.1640916529870178e-20,2.8089176301348016e-10,3.0978075632214484e-12
0.20136,2.9738353496551476e-12,1.1616292648543185e-20,2.80942767944286e-10,3.0985372770977194e-12
0.20138,2.8044561657977023e-12,1.1623163127280441e-20,2.8099269462542893e-10,3.0992794259366425e-12
0.2014,2.5504429842682897e-12,1.1659817611155906e-20,2.8103662347056787e-10,3.0999920981217442e-12
0.2016,2.5872073652168854e-13,1.1758881247574572e-20,2.8122229240074935e-10,3.1036427423496455e-12
0.202,4.4469249350169166e-14,1.1847971802257146e-20,2.816413790840376e-10,3.112100797167486e-12
0.203,7.421780754363287e-15,1.2074682085654588e-20,2.8250643298010335e-10,3.1310538913670882e-12
0.204,2.9028382228541445e-15,1.2306686330690302e-20,2.836209422625319e-10,3.1532001416408888e-12
0.206,9.268760741719097e-16,1.2765819279181087e-20,2.855521351954021e-10,3.1933190026222673e-12
0.208,4.586265978018318e-16,1.326120192940833e-20,2.8770436767113035e-10,3.2374384195639313e-12
0.21,2.689490985991915e-16,1.3766120062804688e-20,2.8984775565615566e-10,3.281105270438421e-12
